rotation,trialtype,reachdev,proprecal
0,1,2.89999883891068,0.954150001233409
0,1,3.21992661424916,2.72581979351173
0,1,0.218549832882813,-0.115087549113972
0,1,0.427392989725642,1.19925053636831
0,1,2.15943617961572,2.99585746795671
0,1,1.18404965060305,2.23768212775481
0,1,2.86737780107516,0.87540179245051
0,1,0.650567899231123,-0.617155129602001
0,1,-0.347772238284975,0.128360829445667
0,1,2.06913237892852,0.705766241617156
0,1,0.604199168141204,-0.258240856560824
0,1,2.37640018142811,0.908646782298132
0,1,2.11735490645123,1.72171147697667
0,1,0.00759762707782792,1.1597986786441
0,1,1.10510610107274,1.68052029061831
0,1,1.52360268225963,0.508581224227561
0,1,1.25845124329034,0.310472394966351
0,1,0.405922128837162,0.0232042207854571
0,1,0.864566370325554,0.261702346672514
0,1,1.09301582975597,-1.29348362196103
0,1,0.973281523112848,0.533568935791782
0,1,2.28092130150751,-0.359138958508659
0,1,0.0140952879653535,-1.33473819857792
0,1,0.605787056223896,0.31081954772014
0,1,0.113397198999837,0.566467382571536
0,1,-0.88306979372306,-0.0620577903042999
0,1,1.50668809416666,0.591279682931997
0,1,2.18495755213829,-1.00305386188447
0,1,1.39410910054616,0.162997746338725
0,1,1.0437684225217,-0.190389836685778
0,1,0.402772207382734,2.66375269558788
0,1,2.16217934532635,0.696452450070358
0,1,0.538196162078805,-1.13529546926242
0,1,1.41365692242753,-0.371497244865247
0,1,0.0575468716609939,-2.27776450145823
0,1,-0.120493442236674,1.73473088216525
0,1,-0.371809772157895,-1.62701215779452
0,1,0.184574723081759,0.287933182733471
0,1,-0.376309317355625,0.301165582560218
0,1,4.35478323884892,0.00754442452129369
0,1,0.18731780334793,0.108001618966082
0,1,0.0210823746384648,-0.50153939848054
0,1,-0.526975899576336,1.21971560580024
0,1,-0.248337138150261,-0.41069694393941
0,1,-0.538115840124209,0.978805212884016
0,1,-1.98058718216289,-3.72066230810043
0,1,0.842761703942299,1.76575170006875
0,1,0.242250233207639,1.46810969969242
0,1,-0.561631096082996,-0.351193858579433
0,1,-0.759107311077811,1.77612102179629
0,1,-0.115458370167064,-1.21888122159764
0,1,0.0629968233102906,0.148515679043634
0,1,-0.0515125436959675,-0.302591051431131
0,1,0.115303066551147,0.212909948271486
0,1,-0.352270412054822,-1.08364152601821
0,1,-1.23597540310253,1.20310078641883
0,1,-0.84483149352993,1.4697009797415
0,1,-1.92736924479122,-1.01390910012213
0,1,1.59751095935889,1.3283436136331
0,1,-0.8139715653899,-0.861644067034764
0,1,0.394943084037257,0.784255093997372
0,1,-0.562136167007429,2.37818832744893
0,1,0.999894518969388,-1.47614254159718
0,1,-1.78233767202779,-1.54180970684009
30,1,-3.49554211220842,7.37055590710508
30,1,-7.96400166260792,9.39356384626655
30,1,-12.2764414601658,8.5171668995424
30,1,-14.458629759438,10.0329546819663
30,1,-15.7924753099089,10.5275971228973
30,1,-16.571948181727,10.006079105792
30,1,-17.5805001894015,8.19702272843715
30,1,-16.9664621206093,9.35131827491332
30,1,-21.3168737961118,8.95272915263874
30,1,-19.4767404128906,9.54807954802864
30,1,-20.9666086542731,11.7575851384774
30,1,-17.5082409817146,11.7343419691149
